,city,temp,humidity,clouds,wind_speed,lat,lon
231,de-kastri,11.8,61,36,6.62,50.459656773685,140.41041889645606
232,petropavlovsk-kamchatskiy,35.87,100,68,18.37,45.48300207708931,163.76739114595853
233,mandurah,66.97,100,44,9.67,-32.48433899874839,115.0427913854619
234,severo-kurilsk,42.44,100,88,13.82,41.104834479311506,165.86599204327433
235,loandjili,79.52,100,76,3.77,-4.756950096437308,11.654569256309031
236,beringovskiy,35.65,100,68,8.97,53.5536893975665,179.4365206060143
237,bengkulu,78.04,100,0,4.97,-17.35367598560191,88.39023839063634
238,pantai remis,78.8,83,75,1.0,4.585247770755473,100.76155164299405
239,rungata,82.22,100,88,4.87,1.2368966502951508,179.13864056980992
240,meulaboh,83.21,98,76,4.02,-6.815011671880484,87.12479801899985
241,urumqi,14.0,85,75,2.0,43.608537251185766,87.99793675150272
242,lavrentiya,0.64,74,0,6.37,69.40493186885237,-168.40100469994493
243,florencia,75.11,78,56,1.97,10.613912738975003,-84.46899852267023
244,hovd,6.62,69,36,5.72,43.83302498448228,99.89821458647322
245,mandera,59.14,66,0,1.67,4.831977684034172,41.15799144741001
246,toliary,82.31,98,0,5.72,-22.775418536677776,40.17858067414517
247,atar,49.15,75,32,2.52,20.8052420532578,-9.981605541372602
248,fairbanks,-23.98,33,0,1.42,65.07642119281803,-145.17607755476325
249,izumo,46.49,100,0,5.62,37.44094365530658,131.17212693709928
250,taybad,34.12,78,48,0.77,34.57564152320822,60.170120126448325
251,yerbogachen,-44.27,0,36,1.07,65.34814233679543,106.53403291909592
252,puerto narino,74.62,97,44,1.22,-2.727320061474785,-71.01831683143483
253,nikolskoye,39.29,100,48,15.57,44.49096065952955,166.80013690911164
254,fernley,49.8,56,90,3.6,39.43154680105951,-119.14062872043769
255,eureka,50.99,100,76,13.47,41.61487995195719,-137.37641850290908
256,samarai,79.16,100,92,2.72,-13.128143758841404,153.60794725052045
257,kysyl-syr,-39.5,84,24,2.57,64.8656858916134,123.6565343863627
258,thompson,-17.23,50,24,3.62,54.749044559718925,-93.70167889975468
259,puerto baquerizo moreno,80.02,100,48,1.27,3.433698119119981,-88.96809481471679
260,umm lajj,73.54,100,0,8.37,23.715627991297353,37.11754123498642
261,dingle,47.08,100,64,4.27,51.87086261611756,-21.12368548159037
262,murray bridge,84.07,46,0,2.07,-35.45840241251797,140.83913388116775
263,sheridan,29.62,73,0,1.82,45.57936626257302,-107.40108158865
264,luganville,82.27,100,88,7.27,-14.8929428909709,164.9159945251314
265,gazli,41.0,93,90,2.1,39.904650064870395,63.70512051115696
266,kankon,80.87,100,0,4.92,13.995280619559892,72.04147429381595
267,port augusta,95.72,29,0,3.22,-32.1426746250541,137.17115289783584
268,umm kaddadah,63.05,23,0,6.02,13.901535427099105,27.727791176500318
269,dwarka,73.63,100,0,8.92,21.23116809779488,65.97204663889002
270,tirumullaivasal,78.8,100,48,6.17,11.165125490678946,81.12414874796337
271,olafsvik,32.9,100,44,8.27,64.52452204204081,-24.998530334402375
272,noumea,76.15,100,76,8.17,-25.801640092437438,165.4514132933234
273,luoyang,35.83,95,68,2.87,35.04969158874462,112.39467370122162
274,mitsamiouli,82.76,100,44,4.62,-7.2723603902113325,46.97266622695676
275,hervey bay,78.49,100,88,9.42,-23.35051932088365,155.8524801180012
276,barentsburg,13.15,58,32,4.22,78.91153422623219,12.054511896913283
277,narsaq,-0.4,99,36,6.62,74.43792091017812,-64.68599826032434
278,kavaratti,76.46,100,76,6.62,11.0061880007855,64.05900474567574
279,ponta do sol,73.0,100,80,7.12,23.196657938856845,-42.209184382405
280,magangue,84.34,65,8,5.92,9.27603567417303,-74.83020135595356
281,kavieng,82.45,98,0,8.52,10.488646528995801,152.33102288225052
282,vanavara,-35.72,66,24,1.67,60.61866849086189,100.81785812121257
283,srikakulam,75.92,100,0,2.72,16.131741647093463,85.5355399730957
284,marigot,75.2,69,20,3.1,18.171797991580718,-63.513702612805474
285,richards bay,75.79,94,48,2.92,-31.875936562602696,39.16740097852451
286,honiara,83.08,100,12,3.87,-12.04583592993282,158.6032110882457
287,karaul,-25.78,40,20,3.92,70.72630855222653,84.77623618614354
288,kanniyakumari,81.41,100,92,6.67,4.996055088712112,76.84494739915226
289,guaymas,66.2,88,40,0.72,27.807882875783392,-110.87850011768255
290,berdyuzhye,1.99,79,80,2.22,55.834230592424035,68.45894539968327
291,kulu,24.62,81,0,1.07,39.199562270202335,32.49390034106514
292,griffin,48.31,56,1,2.22,33.164039244952704,-84.10286486891198
293,qaanaaq,-28.25,45,44,1.17,78.2180481831372,-90.11039052101525
294,barrow,-28.34,45,0,1.52,69.31948601215441,-159.13103434977177
